"variable","uses","used_on","lines"
"accent-primary","33","about; base/global; contact; footer; hero; language menu; mobile nav; navbar; projects; section layout","99; 160; 195; 219; 227; 408; 435; 467; 514; 565; 694; 791; 818; 1222; 1223; 1239; 1276; 1399; 1455; 1517; 1518; 1554; 1626; 1627; 1645; 1677; 1682; 1695; 1696; 1702; 1712; 1728; 1877"
"transition-fast","24","about; base/global; contact; footer; hero; language menu; mobile nav; navbar; projects","112; 187; 209; 245; 256; 256; 458; 745; 757; 757; 776; 1212; 1272; 1390; 1417; 1508; 1569; 1613; 1633; 1652; 1672; 1724; 1872; 1872"
"transition-medium","18","about; contact; footer; hero; language menu; mobile nav; navbar; projects; responsive","156; 489; 884; 1147; 1190; 1351; 1438; 1549; 1782; 1782; 1811; 1811; 1811; 2028; 2028; 2028; 2048; 2048"
"border-color","13","contact; footer; hero; language menu; navbar; projects; section layout","170; 510; 578; 1145; 1266; 1385; 1436; 1480; 1505; 1530; 1548; 1590; 1688"
"color-white","13","about; contact; footer; hero; language menu; mobile nav; navbar; responsive","207; 243; 254; 515; 633; 1400; 1546; 1609; 1830; 1859; 1869; 2062; 2175"
"text-primary","12","about; base/global; contact; hero; language menu; navbar; projects","85; 186; 223; 265; 509; 517; 823; 1211; 1387; 1473; 1689; 1706"
"container-padding","11","base/global; hero; mobile nav; navbar; responsive","123; 177; 309; 1888; 1990; 1993; 2004; 2005; 2009; 2156; 2178"
"text-secondary","8","about; contact; hero; language menu; projects; section layout","352; 582; 852; 1251; 1376; 1507; 1668; 1723"
"accent-secondary","7","about; hero; language menu; navbar; projects","214; 323; 332; 813; 1271; 1620; 1621"
"radius-sm","7","contact; language menu; mobile nav; navbar","208; 1386; 1454; 1506; 1608; 1646; 1870"
"font-heading","6","about; base/global; tech","94; 698; 724; 847; 966; 1089"
"section-padding","6","about; contact; section layout","548; 615; 836; 1299; 1306; 1338"
"text-muted","6","contact; footer; language menu; tech","1098; 1395; 1466; 1487; 1577; 1737"
"accent-glow","5","contact; hero; projects","469; 1277; 1401; 1453; 1519"
"bg-primary","5","about; hero; mobile nav; section layout","375; 508; 551; 822; 1844"
"bg-card","4","contact; projects","1144; 1346; 1384; 1479"
"bg-glass","4","contact; projects","1208; 1265; 1435; 1504"
"component-basic-card","4","about; contact; projects; tech","715; 1061; 1132; 1347"
"color-black","3","about; tech","608; 639; 1020"
"font-deco","3","about; hero; tech","360; 634; 1021"
"font-main","3","base/global; contact; hero","83; 454; 1388"
"font-mono","3","projects; section layout","562; 1236; 1268"
"radius-md","3","contact; responsive","1437; 1481; 1960"
"bg-tertiary","2","hero; projects","293; 1168"
"component-basic-card-responsive","2","mobile nav; responsive","1923; 2142"
"container-max","2","base/global; navbar","121; 175"
"accent-gradient","1","about","874"
"accent-gradient-hover","1","hero","521"
"accent-tertiary","1","about","810"
"bg-secondary","1","footer","1533"
"border-hover","1","contact","1442"
"color-grey","1","about","702"
"component-basic","1","about","881"
"component-basic-esquina","1","navbar","159"
"component-basic-esquina-responsive","1","responsive","1989"
"component-esquina","1","projects","1148"
"component-esquina-responsive","1","mobile nav","1928"
"radius-lg","1","about","678"
"transition-slow","1","projects","1175"
